,dwnstrm [Ambient],,
,CO2,,,
04/04/17 13:23:35.781,"527",,
04/04/17 13:23:40.781,"516",,
04/04/17 13:23:45.781,"527",,
04/04/17 13:23:50.782,"525",,
04/04/17 13:23:55.781,"525",,
04/04/17 13:23:55.781,"525",,
04/04/17 13:24:00.781,"514",,
04/04/17 13:24:05.782,"522",,
04/04/17 13:24:10.781,"529",,
04/04/17 13:24:15.782,"534",,
04/04/17 13:24:20.781,"536",,
04/04/17 13:24:25.781,"534",,
04/04/17 13:24:30.782,"527",,
04/04/17 13:24:35.781,"538",,
04/04/17 13:24:40.781,"536",,
04/04/17 13:24:45.782,"545",,
04/04/17 13:24:50.781,"545",,
04/04/17 13:24:55.781,"542",,
04/04/17 13:25:00.781,"527",,
04/04/17 13:25:05.781,"520",,
04/04/17 13:25:10.781,"529",,
04/04/17 13:25:15.782,"549",,
04/04/17 13:25:20.781,"542",,
04/04/17 13:25:25.781,"540",,
04/04/17 13:25:30.781,"545",,
04/04/17 13:25:35.781,"542",,
04/04/17 13:25:40.781,"545",,
04/04/17 13:25:45.781,"556",,
04/04/17 13:25:50.782,"562",,
04/04/17 13:25:55.781,"562",,
04/04/17 13:26:00.781,"549",,
04/04/17 13:26:05.782,"542",,
04/04/17 13:26:10.781,"534",,
04/04/17 13:26:15.781,"516",,
04/04/17 13:26:20.782,"529",,
04/04/17 13:26:25.782,"522",,
04/04/17 13:26:30.781,"538",,
04/04/17 13:26:35.781,"527",,
04/04/17 13:26:40.781,"556",,
04/04/17 13:26:45.781,"567",,
04/04/17 13:26:50.781,"545",,
04/04/17 13:26:55.781,"555",,
04/04/17 13:27:00.782,"562",,
04/04/17 13:27:05.782,"553",,
04/04/17 13:27:10.781,"566",,
04/04/17 13:27:15.781,"536",,
04/04/17 13:27:20.781,"546",,
04/04/17 13:27:25.782,"544",,
04/04/17 13:27:30.781,"540",,
04/04/17 13:27:35.781,"553",,
04/04/17 13:27:40.781,"557",,
04/04/17 13:27:45.781,"555",,
04/04/17 13:27:50.782,"535",,
04/04/17 13:27:55.781,"535",,
04/04/17 13:28:00.781,"553",,
04/04/17 13:28:05.781,"553",,
04/04/17 13:28:10.781,"570",,
04/04/17 13:28:10.781,"570",,
04/04/17 13:28:15.781,"553",,
04/04/17 13:28:20.781,"541",,
04/04/17 13:28:25.781,"541",,
04/04/17 13:28:30.781,"524",,
04/04/17 13:28:35.781,"541",,
04/04/17 13:28:40.781,"546",,
04/04/17 13:28:45.782,"546",,
04/04/17 13:28:50.781,"557",,
04/04/17 13:28:55.781,"564",,
04/04/17 13:29:00.781,"557",,
04/04/17 13:29:05.781,"548",,
04/04/17 13:29:10.782,"541",,
04/04/17 13:29:15.781,"541",,
04/04/17 13:29:20.782,"533",,
04/04/17 13:29:25.781,"544",,
04/04/17 13:29:30.781,"548",,
04/04/17 13:29:35.781,"548",,
04/04/17 13:29:40.782,"541",,
04/04/17 13:29:45.782,"555",,
04/04/17 13:29:50.782,"564",,
04/04/17 13:29:55.781,"553",,
04/04/17 13:30:00.781,"557",,
04/04/17 13:30:05.782,"568",,
04/04/17 13:30:10.781,"561",,
04/04/17 13:30:15.781,"568",,
04/04/17 13:30:20.781,"553",,
04/04/17 13:30:25.781,"555",,
04/04/17 13:30:30.781,"559",,
04/04/17 13:30:35.782,"561",,
04/04/17 13:30:40.781,"568",,
04/04/17 13:30:45.781,"572",,
04/04/17 13:30:50.782,"559",,
04/04/17 13:30:55.781,"561",,
04/04/17 13:31:00.781,"575",,
04/04/17 13:31:05.781,"557",,
04/04/17 13:31:10.781,"568",,
04/04/17 13:31:15.781,"570",,
04/04/17 13:31:20.781,"553",,
04/04/17 13:31:25.782,"550",,
04/04/17 13:31:30.782,"539",,
04/04/17 13:31:35.782,"546",,
04/04/17 13:31:40.781,"564",,
04/04/17 13:31:45.781,"572",,
04/04/17 13:31:50.781,"559",,
04/04/17 13:31:55.782,"568",,
04/04/17 13:32:00.781,"577",,
04/04/17 13:32:05.782,"577",,
04/04/17 13:32:10.781,"572",,
04/04/17 13:32:15.781,"564",,
04/04/17 13:32:20.781,"566",,
04/04/17 13:32:25.781,"557",,
04/04/17 13:34:25.782,"568",,
04/04/17 13:34:30.781,"570",,
04/04/17 13:34:35.781,"564",,
04/04/17 13:34:40.781,"564",,
04/04/17 13:34:45.781,"572",,
04/04/17 13:34:50.781,"575",,
04/04/17 13:34:55.782,"546",,
04/04/17 13:35:00.782,"498",,
04/04/17 13:35:05.781,"447",,
04/04/17 13:35:10.781,"419",,
04/04/17 13:35:15.781,"397",,
04/04/17 13:35:20.781,"361",,
04/04/17 13:35:25.781,"333",,
04/04/17 13:35:30.781,"294",,
04/04/17 13:35:35.782,"283",,
04/04/17 13:35:40.782,"255",,
04/04/17 13:35:45.782,"243",,
04/04/17 13:35:50.781,"216",,
04/04/17 13:35:55.782,"214",,
04/04/17 13:36:00.781,"188",,
04/04/17 13:36:05.781,"183",,
04/04/17 13:36:10.781,"173",,
04/04/17 13:36:15.781,"164",,
04/04/17 13:36:20.781,"159",,
04/04/17 13:36:25.781,"159",,
04/04/17 13:36:30.781,"143",,
04/04/17 13:36:35.782,"133",,
04/04/17 13:36:40.781,"128",,
04/04/17 13:36:40.781,"128",,
04/04/17 13:36:45.781,"128",,
04/04/17 13:36:50.781,"149",,
04/04/17 13:36:55.781,"156",,
04/04/17 13:37:00.782,"156",,
04/04/17 13:37:05.781,"216",,
04/04/17 13:37:10.781,"223",,
04/04/17 13:37:15.781,"246",,
04/04/17 13:37:20.781,"283",,
04/04/17 13:37:25.782,"316",,
04/04/17 13:37:30.781,"342",,
04/04/17 13:37:35.781,"371",,
04/04/17 13:37:40.781,"392",,
04/04/17 13:37:45.782,"422",,
04/04/17 13:37:50.781,"446",,
04/04/17 13:37:55.781,"464",,
04/04/17 13:38:00.781,"473",,
04/04/17 13:38:05.781,"496",,
04/04/17 13:38:10.781,"509",,
04/04/17 13:38:15.782,"541",,
04/04/17 13:38:20.781,"548",,
04/04/17 13:38:25.782,"577",,
04/04/17 13:38:30.781,"597",,
04/04/17 13:38:35.781,"602",,
04/04/17 13:38:40.782,"631",,
04/04/17 13:38:45.781,"647",,
04/04/17 13:38:50.781,"663",,
04/04/17 13:38:55.781,"668",,
04/04/17 13:39:00.781,"693",,
04/04/17 13:39:05.781,"713",,
04/04/17 13:39:10.781,"703",,
04/04/17 13:39:15.781,"705",,
04/04/17 13:39:20.781,"733",,
04/04/17 13:39:25.782,"745",,
04/04/17 13:39:30.781,"761",,
04/04/17 13:39:35.782,"771",,
04/04/17 13:39:40.781,"771",,
04/04/17 13:39:45.781,"789",,
04/04/17 13:39:50.781,"776",,
04/04/17 13:39:55.781,"799",,
04/04/17 13:40:00.781,"804",,
04/04/17 13:40:05.781,"825",,
04/04/17 13:40:10.781,"852",,
04/04/17 13:40:15.781,"874",,
04/04/17 13:40:20.781,"841",,
04/04/17 13:40:25.782,"827",,
04/04/17 13:40:30.781,"841",,
04/04/17 13:40:35.781,"838",,
04/04/17 13:40:40.782,"857",,
04/04/17 13:40:45.781,"857",,
04/04/17 13:40:50.782,"868",,
04/04/17 13:40:55.781,"871",,
04/04/17 13:40:55.781,"871",,
04/04/17 13:41:00.781,"874",,
04/04/17 13:41:05.781,"876",,
04/04/17 13:41:10.781,"895",,
04/04/17 13:41:15.781,"876",,
04/04/17 13:41:20.782,"868",,
04/04/17 13:41:25.781,"887",,
04/04/17 13:41:30.781,"904",,
04/04/17 13:41:35.782,"906",,
04/04/17 13:41:40.782,"923",,
04/04/17 13:41:45.781,"935",,
04/04/17 13:41:50.781,"935",,
04/04/17 13:41:55.781,"926",,
04/04/17 13:42:00.781,"937",,
04/04/17 13:42:05.781,"935",,
04/04/17 13:42:10.782,"932",,
04/04/17 13:42:15.781,"937",,
04/04/17 13:42:20.782,"937",,
04/04/17 13:42:25.781,"949",,
04/04/17 13:42:30.781,"966",,
04/04/17 13:42:35.781,"949",,
04/04/17 13:42:40.782,"977",,
04/04/17 13:42:45.781,"960",,
04/04/17 13:42:50.781,"974",,
04/04/17 13:42:55.781,"983",,
04/04/17 13:43:00.781,"972",,
04/04/17 13:43:05.781,"955",,
04/04/17 13:43:10.781,"961",,
04/04/17 13:43:15.781,"955",,
04/04/17 13:43:20.781,"969",,
04/04/17 13:43:25.781,"983",,
04/04/17 13:43:30.782,"969",,
04/04/17 13:43:35.781,"1012",,
04/04/17 13:43:40.782,"1013",,
04/04/17 13:43:45.781,"984",,
04/04/17 13:43:50.782,"981",,
04/04/17 13:43:55.781,"992",,
04/04/17 13:44:00.782,"1025",,
04/04/17 13:44:05.782,"1036",,
04/04/17 13:44:10.781,"1030",,
04/04/17 13:44:15.781,"1036",,
04/04/17 13:44:20.781,"1019",,
04/04/17 13:44:25.781,"1025",,
04/04/17 13:44:30.781,"995",,
04/04/17 13:44:35.782,"998",,
04/04/17 13:44:40.781,"1010",,
04/04/17 13:44:45.781,"1022",,
04/04/17 13:44:50.781,"998",,
04/04/17 13:44:55.781,"1057",,
04/04/17 13:45:00.781,"1051",,
04/04/17 13:45:05.781,"1054",,
04/04/17 13:45:10.781,"1048",,
04/04/17 13:45:10.781,"1048",,
04/04/17 13:45:15.781,"1048",,
04/04/17 13:45:20.781,"1025",,
04/04/17 13:45:25.781,"1051",,
04/04/17 13:45:30.781,"1054",,
04/04/17 13:45:35.782,"1063",,
04/04/17 13:45:40.782,"1048",,
04/04/17 13:45:45.781,"1074",,
04/04/17 13:45:50.781,"1066",,
04/04/17 13:45:55.781,"1048",,
04/04/17 13:46:00.781,"1092",,
04/04/17 13:46:05.782,"1092",,
04/04/17 13:46:10.782,"1095",,
04/04/17 13:46:15.781,"1098",,
04/04/17 13:46:20.782,"1129",,
04/04/17 13:46:25.781,"1114",,
04/04/17 13:46:30.781,"1110",,
04/04/17 13:46:35.782,"1123",,
04/04/17 13:46:40.782,"1104",,
04/04/17 13:46:45.781,"1083",,
04/04/17 13:46:50.781,"1089",,
04/04/17 13:46:55.781,"1089",,
04/04/17 13:47:00.781,"1089",,
04/04/17 13:47:05.781,"1092",,
04/04/17 13:47:10.781,"1104",,
04/04/17 13:47:15.781,"1110",,
04/04/17 13:47:20.781,"1126",,
04/04/17 13:47:25.781,"1126",,
04/04/17 13:47:30.781,"1098",,
04/04/17 13:47:35.781,"1114",,
04/04/17 13:47:40.781,"1123",,
04/04/17 13:47:45.781,"1126",,
04/04/17 13:47:50.781,"1101",,
04/04/17 13:47:55.782,"1132",,
04/04/17 13:48:00.782,"1138",,
04/04/17 13:48:05.781,"1138",,
04/04/17 13:48:10.782,"1135",,
04/04/17 13:48:15.781,"1135",,
04/04/17 13:48:20.781,"1151",,
04/04/17 13:48:25.781,"1123",,
04/04/17 13:48:30.783,"1141",,
04/04/17 13:48:35.782,"1148",,
04/04/17 13:48:40.781,"1169",,
04/04/17 13:48:45.781,"1156",,
04/04/17 13:48:50.781,"1129",,
04/04/17 13:48:55.781,"1129",,
04/04/17 13:49:00.781,"1125",,
04/04/17 13:49:05.782,"1137",,
04/04/17 13:49:10.781,"1128",,
04/04/17 13:49:15.781,"1113",,
04/04/17 13:49:20.782,"1119",,
04/04/17 13:49:25.782,"1125",,
04/04/17 13:49:25.782,"1125",,
04/04/17 13:49:30.781,"1109",,
04/04/17 13:49:35.781,"1109",,
04/04/17 13:49:40.782,"1131",,
04/04/17 13:49:45.782,"1125",,
04/04/17 13:49:50.781,"1122",,
04/04/17 13:49:55.781,"1116",,
04/04/17 13:50:00.781,"1113",,
04/04/17 13:50:05.781,"1106",,
04/04/17 13:50:10.781,"1088",,
04/04/17 13:50:15.781,"1079",,
04/04/17 13:50:20.782,"1079",,
04/04/17 13:50:25.781,"1106",,
04/04/17 13:50:30.781,"1097",,
04/04/17 13:50:35.782,"1100",,
04/04/17 13:50:40.782,"1109",,
04/04/17 13:50:45.781,"1100",,
04/04/17 13:50:50.781,"1085",,
04/04/17 13:50:55.781,"1113",,
04/04/17 13:51:00.781,"1085",,
04/04/17 13:51:05.781,"1076",,
04/04/17 13:51:10.781,"1056",,
04/04/17 13:51:15.782,"1071",,
04/04/17 13:51:20.781,"1065",,
04/04/17 13:51:25.781,"1065",,
04/04/17 13:51:30.781,"1076",,
04/04/17 13:51:35.782,"1073",,
04/04/17 13:51:40.781,"1073",,
04/04/17 13:51:45.781,"1073",,
04/04/17 13:51:50.782,"1091",,
04/04/17 13:51:55.781,"1085",,
04/04/17 13:52:00.781,"1056",,
04/04/17 13:52:05.782,"1041",,
04/04/17 13:52:10.781,"1050",,
04/04/17 13:52:15.781,"1085",,
04/04/17 13:52:20.781,"1050",,
04/04/17 13:52:25.782,"1035",,
04/04/17 13:52:30.782,"1038",,
04/04/17 13:52:35.781,"1050",,
04/04/17 13:52:40.781,"1026",,
04/04/17 13:52:45.781,"1024",,
04/04/17 13:52:50.781,"994",,
04/04/17 13:52:55.781,"1018",,
04/04/17 13:53:00.782,"1005",,
04/04/17 13:53:05.781,"993",,
04/04/17 13:53:10.781,"1023",,
04/04/17 13:53:15.781,"999",,
04/04/17 13:53:20.781,"985",,
04/04/17 13:53:25.781,"977",,
04/04/17 13:53:30.781,"965",,
04/04/17 13:53:35.781,"968",,
04/04/17 13:53:40.781,"993",,
04/04/17 13:53:40.781,"993",,
04/04/17 13:53:45.782,"979",,
04/04/17 13:53:50.781,"974",,
04/04/17 13:53:55.781,"957",,
04/04/17 13:54:00.781,"971",,
04/04/17 13:54:05.781,"971",,
04/04/17 13:54:10.781,"948",,
04/04/17 13:54:15.782,"934",,
04/04/17 13:54:20.781,"934",,
04/04/17 13:54:25.782,"917",,
04/04/17 13:54:30.781,"939",,
04/04/17 13:54:35.782,"945",,
04/04/17 13:54:40.781,"931",,
04/04/17 13:54:45.781,"936",,
04/04/17 13:54:50.781,"934",,
04/04/17 13:54:55.781,"922",,
04/04/17 13:55:00.781,"928",,
04/04/17 13:55:05.782,"931",,
04/04/17 13:55:10.781,"917",,
04/04/17 13:55:15.781,"914",,
04/04/17 13:55:20.781,"911",,
04/04/17 13:55:25.781,"897",,
04/04/17 13:55:30.781,"886",,
04/04/17 13:55:35.781,"892",,
04/04/17 13:55:40.781,"878",,
04/04/17 13:55:45.781,"892",,
04/04/17 13:55:50.781,"881",,
