,dwnstrm [Ambient],,
,CO2,,,
04/05/17 10:22:32.069,"2762",,
04/05/17 10:22:37.069,"2815",,
04/05/17 10:22:42.068,"2859",,
04/05/17 10:22:47.069,"2889",,
04/05/17 10:22:47.069,"2889",,
04/05/17 10:22:52.069,"2924",,
04/05/17 10:22:57.069,"2924",,
04/05/17 10:23:02.068,"2970",,
04/05/17 10:23:07.069,"2990",,
04/05/17 10:23:12.069,"2970",,
04/05/17 10:23:17.068,"2985",,
04/05/17 10:23:22.069,"3035",,
04/05/17 10:23:27.069,"3082",,
04/05/17 10:23:32.069,"3082",,
04/05/17 10:23:37.069,"3097",,
04/05/17 10:23:42.069,"3129",,
04/05/17 10:23:47.069,"3087",,
04/05/17 10:23:52.068,"3108",,
04/05/17 10:23:57.069,"3118",,
04/05/17 10:24:02.069,"3129",,
04/05/17 10:24:07.069,"3175",,
04/05/17 10:24:12.069,"3196",,
04/05/17 10:24:17.069,"3186",,
04/05/17 10:24:22.069,"3191",,
04/05/17 10:24:27.068,"3244",,
04/05/17 10:24:32.069,"3277",,
04/05/17 10:24:37.069,"3282",,
04/05/17 10:24:42.069,"3212",,
04/05/17 10:24:47.069,"3212",,
04/05/17 10:24:52.069,"3134",,
04/05/17 10:24:57.069,"3087",,
04/05/17 10:25:02.068,"3005",,
04/05/17 10:25:07.069,"2925",,
04/05/17 10:25:12.069,"2836",,
04/05/17 10:25:17.069,"2768",,
04/05/17 10:25:22.069,"2724",,
04/05/17 10:25:27.069,"2610",,
04/05/17 10:25:32.069,"2549",,
04/05/17 10:25:37.068,"2499",,
04/05/17 10:25:42.069,"2476",,
04/05/17 10:25:47.069,"2434",,
04/05/17 10:25:52.069,"2439",,
04/05/17 10:25:57.069,"2416",,
04/05/17 10:26:02.069,"2403",,
04/05/17 10:26:07.069,"2367",,
04/05/17 10:26:12.068,"2376",,
04/05/17 10:26:17.069,"2354",,
04/05/17 10:26:22.069,"2283",,
04/05/17 10:26:27.068,"2314",,
04/05/17 10:26:32.069,"2345",,
04/05/17 10:26:37.069,"2349",,
04/05/17 10:26:42.069,"2318",,
04/05/17 10:26:47.068,"2327",,
04/05/17 10:26:52.069,"2349",,
04/05/17 10:26:57.069,"2336",,
04/05/17 10:27:02.068,"2366",,
