04/04 12:14:29 Environmental temperature: Warning
04/04 12:14:29 Environmental temperature: Safe
04/04 12:14:31 Environmental temperature: Warning
04/04 12:14:31 Environmental temperature: Safe
04/04 12:14:37 Environmental temperature: Warning
04/04 12:14:37 Environmental temperature: Safe
04/04 12:14:41 Environmental temperature: Warning
04/04 12:14:42 Environmental temperature: Safe
04/04 12:14:42 Environmental temperature: Warning
04/04 12:14:43 Environmental temperature: Safe
04/04 12:14:43 Environmental temperature: Warning
04/04 12:14:44 Environmental temperature: Safe
04/04 12:14:44 Environmental temperature: Warning
04/04 12:14:45 Environmental temperature: Safe
04/04 12:14:45 Environmental temperature: Warning
04/04 12:14:46 Environmental temperature: Safe
04/04 12:14:46 Environmental temperature: Warning
04/04 12:14:47 Environmental temperature: Safe
04/04 12:14:47 Environmental temperature: Warning
04/04 12:14:48 Environmental temperature: Safe
04/04 12:15:14 Environmental temperature: Warning
04/04 12:15:15 Environmental temperature: Safe
04/04 12:15:15 Environmental temperature: Warning
04/04 12:15:16 Environmental temperature: Safe
04/04 12:15:16 Environmental temperature: Warning
04/04 12:15:17 Environmental temperature: Safe
04/04 12:15:39 Environmental temperature: Warning
04/04 12:15:39 Environmental temperature: Safe
04/04 12:15:44 Environmental temperature: Warning
04/04 12:15:45 Environmental temperature: Safe
04/04 12:15:45 Environmental temperature: Warning
04/04 12:15:46 Environmental temperature: Safe
04/04 12:15:46 Environmental temperature: Warning
04/04 12:15:47 Environmental temperature: Safe
04/04 12:15:47 Environmental temperature: Warning
04/04 12:15:48 Environmental temperature: Safe
04/04 12:15:48 Environmental temperature: Warning
04/04 12:15:49 Environmental temperature: Safe
04/04 12:15:49 Environmental temperature: Warning
04/04 12:15:50 Environmental temperature: Safe
04/04 12:15:50 Environmental temperature: Warning
04/04 12:15:51 Environmental temperature: Safe
04/04 12:16:21 Environmental temperature: Warning
04/04 12:16:22 Environmental temperature: Safe
04/04 12:17:26 Environmental temperature: Warning
04/04 12:17:27 Environmental temperature: Safe
04/04 12:17:54 Environmental temperature: Warning
04/04 12:17:54 Environmental temperature: Safe
04/04 12:26:16 Oxygen pressure: Warning
04/04 12:26:17 Oxygen pressure: Safe
04/04 12:26:21 Oxygen pressure: Warning
04/04 12:26:21 Oxygen pressure: Safe
04/04 12:26:27 Oxygen pressure: Warning
04/04 12:26:27 Oxygen pressure: Safe
04/04 12:26:28 Oxygen pressure: Warning
04/04 12:26:28 Oxygen pressure: Safe
04/04 12:26:40 Environmental temperature: Warning
04/04 12:26:41 Environmental temperature: Safe
04/04 12:27:20 Oxygen pressure: Warning
04/04 12:27:20 Oxygen pressure: Safe
04/04 12:27:27 Oxygen pressure: Warning
04/04 12:27:27 Oxygen pressure: Safe
04/04 12:27:57 Oxygen pressure: Warning
04/04 12:27:57 Oxygen pressure: Safe
04/04 12:28:19 Oxygen pressure: Warning
04/04 12:28:20 Oxygen pressure: Safe
04/04 12:29:09 Oxygen pressure: Warning
04/04 12:29:09 Oxygen pressure: Safe
04/04 12:29:51 Oxygen pressure: Warning
04/04 12:29:52 Oxygen pressure: Safe
04/04 12:30:05 Oxygen pressure: Warning
04/04 12:30:06 Oxygen pressure: Safe
04/04 12:36:03 Environmental temperature: Warning
04/04 12:36:03 Environmental temperature: Safe
04/04 12:36:38 Environmental temperature: Warning
04/04 12:36:39 Environmental temperature: Safe
04/04 12:37:41 Oxygen pressure: Warning
04/04 12:37:42 Oxygen pressure: Safe
04/04 12:37:51 Oxygen pressure: Warning
04/04 12:37:52 Oxygen pressure: Safe
04/04 12:38:06 Oxygen pressure: Warning
04/04 12:38:07 Oxygen pressure: Safe
04/04 12:39:04 Oxygen pressure: Warning
04/04 12:39:05 Oxygen pressure: Safe
04/04 12:40:23 Oxygen pressure: Warning
04/04 12:40:23 Oxygen pressure: Safe
04/04 12:40:57 Oxygen pressure: Warning
04/04 12:40:57 Oxygen pressure: Safe
04/04 12:41:17 Oxygen pressure: Warning
04/04 12:41:17 Oxygen pressure: Safe
04/04 12:41:37 Environmental temperature: Warning
04/04 12:41:38 Environmental temperature: Safe
04/04 12:41:38 Environmental temperature: Warning
04/04 12:41:39 Environmental temperature: Safe
04/04 12:41:54 Environmental temperature: Warning
04/04 12:41:54 Environmental temperature: Safe
04/04 12:42:04 Oxygen pressure: Warning
04/04 12:42:05 Oxygen pressure: Safe
04/04 12:42:12 Oxygen pressure: Warning
04/04 12:42:13 Oxygen pressure: Safe
04/04 12:42:17 Environmental temperature: Warning
04/04 12:42:18 Environmental temperature: Safe
04/04 12:42:23 Environmental temperature: Warning
04/04 12:42:23 Environmental temperature: Safe
04/04 12:42:32 Environmental temperature: Warning
04/04 12:42:33 Environmental temperature: Safe
04/04 12:42:40 Oxygen pressure: Warning
04/04 12:42:41 Oxygen pressure: Safe
04/04 12:42:51 Environmental temperature: Warning
04/04 12:42:52 Environmental temperature: Safe
04/04 12:43:57 Oxygen pressure: Warning
04/04 12:43:58 Oxygen pressure: Safe
04/04 12:45:33 Oxygen pressure: Warning
04/04 12:45:34 Oxygen pressure: Safe
04/04 12:45:50 Oxygen pressure: Warning
04/04 12:45:51 Oxygen pressure: Safe
04/04 12:47:24 Oxygen pressure: Warning
04/04 12:47:25 Oxygen pressure: Safe
04/04 12:47:36 Environmental temperature: Warning
04/04 12:47:37 Environmental temperature: Safe
04/04 12:47:59 Oxygen pressure: Warning
04/04 12:48:00 Oxygen pressure: Safe
04/04 12:52:27 Environmental temperature: Warning
04/04 12:52:27 Environmental temperature: Safe
04/04 12:52:28 Environmental temperature: Warning
04/04 12:52:28 Environmental temperature: Safe
04/04 12:54:27 Oxygen pressure: Warning
04/04 12:54:28 Oxygen pressure: Safe
04/04 12:54:31 Oxygen pressure: Warning
04/04 12:54:31 Oxygen pressure: Safe
04/04 12:54:34 Oxygen pressure: Warning
04/04 12:54:35 Oxygen pressure: Safe
04/04 12:55:00 Oxygen pressure: Warning
04/04 12:55:01 Oxygen pressure: Safe
04/04 12:55:19 Oxygen pressure: Warning
04/04 12:55:20 Oxygen pressure: Safe
04/04 12:56:11 Oxygen pressure: Warning
04/04 12:56:11 Oxygen pressure: Safe
04/04 12:56:57 Oxygen pressure: Warning
04/04 12:56:58 Oxygen pressure: Safe
04/04 12:57:12 Oxygen pressure: Warning
04/04 12:57:13 Oxygen pressure: Safe
04/04 12:57:13 Oxygen pressure: Warning
04/04 12:57:14 Oxygen pressure: Safe
04/04 12:57:26 Environmental temperature: Warning
04/04 12:57:27 Environmental temperature: Safe
04/04 12:57:55 Oxygen pressure: Warning
04/04 12:57:56 Oxygen pressure: Safe
04/04 12:58:21 Oxygen pressure: Warning
04/04 12:58:21 Oxygen pressure: Safe
04/04 12:59:00 Oxygen pressure: Warning
04/04 12:59:01 Oxygen pressure: Safe
04/04 12:59:09 Oxygen pressure: Warning
04/04 12:59:09 Oxygen pressure: Safe
04/04 12:59:41 Oxygen pressure: Warning
04/04 12:59:41 Oxygen pressure: Safe
04/04 12:59:45 Oxygen pressure: Warning
04/04 12:59:45 Oxygen pressure: Safe
04/04 13:00:13 Oxygen pressure: Warning
04/04 13:00:13 Oxygen pressure: Safe
04/04 13:00:19 Oxygen pressure: Warning
04/04 13:00:19 Oxygen pressure: Safe
04/04 13:01:22 State changed from Idle to Init.
04/04 13:01:37 Environmental temperature: Warning
04/04 13:01:38 Environmental temperature: Safe
04/04 13:02:25 Environmental temperature: Warning
04/04 13:02:25 Environmental temperature: Safe
04/04 13:06:37 Environmental temperature: Warning
04/04 13:06:38 Environmental temperature: Safe
04/04 13:09:40 Environmental temperature: Warning
04/04 13:09:42 Environmental temperature: Safe
04/04 13:10:39 Environmental temperature: Warning
04/04 13:10:40 Environmental temperature: Safe
04/04 13:15:14 Oxygen pressure: Warning
04/04 13:15:15 Oxygen pressure: Safe
04/04 13:17:27 Environmental temperature: Warning
