,upstrm [Ambient]
,CO2
04/04/17 13:27:00.00,594
04/04/17 13:27:05.05,579
04/04/17 13:27:10.10,558
04/04/17 13:27:15.15,554
04/04/17 13:27:20.20,561
04/04/17 13:27:25.25,575
04/04/17 13:27:30.30,567
04/04/17 13:27:35.35,567
04/04/17 13:27:40.40,594
04/04/17 13:27:45.45,563
04/04/17 13:27:50.50,556
04/04/17 13:27:55.55,558
04/04/17 13:28:00.00,561
04/04/17 13:28:05.05,556
04/04/17 13:28:10.10,591
04/04/17 13:28:15.15,584
04/04/17 13:28:15.15,584
04/04/17 13:28:20.20,579
04/04/17 13:28:25.25,598
04/04/17 13:28:30.30,575
04/04/17 13:28:35.35,563
04/04/17 13:28:40.40,574
04/04/17 13:28:45.45,567
04/04/17 13:28:50.50,577
04/04/17 13:28:55.55,572
04/04/17 13:29:00.00,567
04/04/17 13:29:05.05,558
04/04/17 13:29:10.10,586
04/04/17 13:29:15.15,577
04/04/17 13:29:20.20,588
04/04/17 13:29:25.25,581
04/04/17 13:29:30.30,570
04/04/17 13:29:35.35,567
04/04/17 13:29:40.40,581
04/04/17 13:29:45.45,579
04/04/17 13:29:50.50,574
04/04/17 13:29:55.55,565
04/04/17 13:30:00.00,567
04/04/17 13:30:05.05,565
04/04/17 13:30:10.10,563
04/04/17 13:30:15.15,574
04/04/17 13:30:20.20,574
04/04/17 13:30:25.25,567
04/04/17 13:30:30.30,561
04/04/17 13:30:35.35,577
04/04/17 13:30:40.40,552
04/04/17 13:30:45.45,538
04/04/17 13:30:50.50,549
04/04/17 13:30:55.55,565
04/04/17 13:31:00.00,561
04/04/17 13:31:05.05,567
04/04/17 13:31:10.10,572
04/04/17 13:31:15.15,570
04/04/17 13:31:20.20,595
04/04/17 13:31:25.25,572
04/04/17 13:31:30.30,581
04/04/17 13:31:35.35,572
04/04/17 13:31:40.40,563
04/04/17 13:31:45.45,570
04/04/17 13:31:50.50,561
04/04/17 13:31:55.55,586
04/04/17 13:32:00.00,577
04/04/17 13:32:05.05,567
04/04/17 13:32:10.10,558
04/04/17 13:32:15.15,570
04/04/17 13:32:20.20,570
04/04/17 13:32:25.25,570
04/04/17 13:32:30.30,563
04/04/17 13:34:30.30,588
04/04/17 13:34:35.35,605
04/04/17 13:34:40.40,600
04/04/17 13:34:45.45,588
04/04/17 13:34:50.50,588
04/04/17 13:34:55.55,541
04/04/17 13:35:00.00,505
04/04/17 13:35:05.05,455
04/04/17 13:35:10.10,407
04/04/17 13:35:15.15,376
04/04/17 13:35:20.20,317
04/04/17 13:35:25.25,287
04/04/17 13:35:30.30,266
04/04/17 13:35:35.35,239
04/04/17 13:35:40.40,213
04/04/17 13:35:45.45,193
04/04/17 13:35:50.50,157
04/04/17 13:35:55.55,159
04/04/17 13:36:00.00,148
04/04/17 13:36:05.05,141
04/04/17 13:36:10.10,118
04/04/17 13:36:15.15,120
04/04/17 13:36:20.20,177
04/04/17 13:36:25.25,315
04/04/17 13:36:30.30,558
04/04/17 13:36:35.35,856
04/04/17 13:36:40.40,1188
04/04/17 13:36:45.45,1505
04/04/17 13:36:45.45,1505
04/04/17 13:36:50.50,1777
04/04/17 13:36:55.55,2002
04/04/17 13:37:00.00,2194
04/04/17 13:37:05.05,2408
04/04/17 13:37:10.10,2598
04/04/17 13:37:15.15,2746
04/04/17 13:37:20.20,2874
04/04/17 13:37:25.25,2959
04/04/17 13:37:30.30,2996
04/04/17 13:37:35.35,3068
