Shortcut;Name;Phase;Molar Mass;Nutritional Energy;Melting Point;Boiling Point;Density;Heat Capacity;Linear Expansion Coefficient;Modulus of Elasticity;Thermal Conductivity; Charge;;
sSubstance;sName;ttxPhases;fMolarMass;fNutritionalEnergy;fMeltPoint;fBoilPoint;fDensity;fCp;fExpCoeff;fModElast;fThermalConductivity;iCharge; number of properties is not limited. as long as the name is in the first row and the variablename in the second!;
-;-;-;kg/mol;J/kg;K;K;kg/m3;J/(kg*K);-;-;W/(m*K);-;;
Clothing_Nomex_Tough;Nomex;solid;0.03;0;;;50;1000;;;;0;http://www.ibena.com/tl_files/files/protect/downloads/Product%20overview%20fabric%20for%20firefighting%20and%20emergency%20services%20EN.pdf - Weight 200g/m^2 â†’ thickness assumed to be 0.4cm â†’ kg/m^3 â†’ 200/1000 / 0.04 â†’ thinner??;
Clothing_Goretex_Flameliner;GoreTexFlameliner;solid;0.03;0;;;250;1000;;;;0;guessed;
BiomassBalance;BiomassBalance;solid;0.02307;0;;;804;1860;;;;0;;
BiomassBalance;BiomassBalance;liquid;0.02307;0;;;804;1860;;;;0;;
BiomassBalance;BiomassBalance;gas;0.0140067;0;63.15;77.35;1.17;1042;;0.12;;0;;
Nutrients;Nutriens;liquid;0.02307;0;;;804;1860;;;;0;;
C6H12O6;Carbohydrates;solid;0.18015765;16736000;;;804;1860;;;;0;For Energy Content: https://www.accessdata.fda.gov/scripts/InteractiveNutritionFactsLabel/factsheets/Sugars.pdf;
C16H32O2;Fat;solid;0.2564288;37656000;;;804;1860;;;;0;For Energy Content: https://www.accessdata.fda.gov/scripts/InteractiveNutritionFactsLabel/factsheets/Total_Fat.pdf;
C4H5ON;Protein;solid;0.083088875;16736000;;;804;1860;;;;0;For Energy Content: https://www.accessdata.fda.gov/scripts/InteractiveNutritionFactsLabel/factsheets/Protein.pdf;
C2H2F4;Coolant;liquid;0.1020309;0;170;250;;;;;;0;;
C2H2F4;Coolant;gas;0.1020309;0;170;250;4.25;702.4;;;;0;;
Chlorella; CH1.75O0.42N0.15;solid;0.022595349;0;;;804;1860;;;;0;;
H;Hydrogenion;liquid;0.00100794;0;;;804;1860;;;;1;already implemented in line 15;
HCO3;Bicarbonate; solid;0.0610089;0;;;1.7845;850.7;;;;-1;density and heat capacity assumed to be equal to the CO2 values at 1 bar and 25øC;
CO3;Carbonate; solid;0.0600089;0;;;1.7845;850.7;;;;-2;density and heat capacity assumed to be equal to the CO2 values at 1 bar and 25øC;
C10H14N2Na2O8;DisodiumEDTASalt;liquid;0.3362063;0;;;804;1860;;;;0;;
C10H16N2O8;EDTA;liquid;0.29224264;0;;;804;1860;;;;0;;
C10H5N2O8;EDTAminus;liquid;0.2912347;0;;;804;1860;;;;-1;;
C10H14N2O8;EDTA2minus;liquid;0.29022676;0;;;804;1860;;;;-2;;
C10H13N2O8;EDTA3minus;liquid;0.28921882;0;;;804;1860;;;;-3;;
C10H12N2O8;EDTA4minus;liquid;0.28821088;0;;;804;1860;;;;-4;;
H3PO4;PhosphoricAcid;liquid;0.097995181;0;;;1874.1;1533.748905;;;;0;;
H2PO4;DihydrogenPhosphate;liquid;0.096987241;0;;;1874.1;1533.748905;;;;-1;density and heat capacity assumed to be equal to the H3PO4 values;
HPO4;HydrogenPhosphate;liquid;0.095979301;0;;;1874.1;1533.748905;;;;-2;density and heat capacity assumed to be equal to the H3PO4 values;
PO4;Phosphate;liquid;0.094971361;0;;;1874.1;1533.748905;;;;-3;density and heat capacity assumed to be equal to the H3PO4 values;
K2HPO4;DibasicPotassiumPhosphate;liquid;0.174175901;0;;;804;1860;;;;0;;
KH2PO4;MonobasicPotassiumPhosphate;liquid;0.136085541;0;;;804;1860;;;;0;;
NaNO3;SodiumNitrate;liquid;0.08499467;0;;;804;1860;;; ;0;;
Naplus; SodiumIon;liquid;0.02298977;0;370.95;1156.15;970;1230;71;0.68;;1;;
Kplus; PotassiumIon;liquid;0.0390983;0;336.45;1033.15;860;757;84;0.32;;1;;
OH;HydroxideIon;liquid;0.01700734;0;;;1000;4186;;;;-1;density and heat capacity assumed to be equal to the H2O values at 1 bar and 20øC;
COH4N2;Urea;solid;0.0605526;0;;;999.1;4188.5;;;;0;;
COH2;UrineRest;solid;0.03002598;0;;;999.1;4188.5;;;;0;;
NO3;Nitrate;liquid;0.0620049;0;;;804;1860;;; ;-1;;
BMIMAc;IonicLiquid1;liquid;0.198266;0;;;1052.59;1059.2;;;;0;Yates et al 2017 (ICES-2017-20);
EMIMAc;IonicLiquid2;liquid;0.170212;0;;;1098;1000;;;;0;estimation;
NH4OH;AmmoniumHydroxide;liquid;0.03504;0;;;880;2458.23;;;;0;;
HNO3;NitricAcid;liquid;0.0630128;0;;;1512.9;1737.74;;;;0;;
HNO2;NitrousAcid;liquid;0.0470134;0;;;1000;969.94;;;;0;;
NH3_AEP;Ammonia;gas;0.01703052;0;195.42;239.81;0.717;2165;;;;0;;
NH3_AEPI;Ammonia;gas;0.01703052;0;195.42;239.81;0.717;2165;;;;0;;
COH4N2_AES;Urea;liquid;0.0600553;0;;;1320;1545.076;;;;0;;
COH4N2_AESI;Urea;liquid;0.0600553;0;;;1320;1545.076;;;;0;;
NH4OH_BES;AmmoniumHydroxide;liquid;0.03504;0;;;880;2458.23;;;;0;;
NH4OH_BESI;AmmoniumHydroxide;liquid;0.03504;0;;;880;2458.23;;;;0;;
HNO2_BEP;NitrousAcid;liquid;0.0470134;0;;;1000;969.94;;;;0;;
HNO2_BEPI;NitrousAcid;liquid;0.0470134;0;;;1000;969.94;;;;0;;
HNO2_CES;NitrousAcid;liquid;0.0470134;0;;;1000;969.94;;;;0;;
HNO2_CESI;NitrousAcid;liquid;0.0470134;0;;;1000;969.94;;;;0;;
HNO3_CEP;NitricAcid;liquid;0.0630128;0;;;1512.9;1737.74;;;;0;;
HNO3_CEPI;NitricAcid;liquid;0.0630128;0;;;1512.9;1737.74;;;;0;;
NH3_BES;Ammonia;gas;0.01703052;0;195.42;239.81;0.717;2165;;;;0;;
NH3_BESI;Ammonia;gas;0.01703052;0;195.42;239.81;0.717;2165;;;;0;;
SERENITY_UpperTorso;SERENITY_UpperTorso;solid;0.03;0;;;1290;1200;;;;0;;
SERENITY_LowerTorso;SERENITY_LowerTorso;solid;0.03;0;;;1290;1200;;;;0;;
SERENITY_Arm;SERENITY_Arm;solid;0.03;0;;;173;1371;;;;0;;
SERENITY_Glove;SERENITY_Glove;solid;0.03;0;;;173;1371;;;;0;;
SERENITY_Leg;SERENITY_Leg;solid;0.03;0;;;173;1371;;;;0;;
SERENITY_Boot;SERENITY_Boot;solid;0.03;0;;;173;1371;;;;0;;
NH4;Ammonium;liquid;0.0180385;0;;;880;2458.23;;;;1;density and heat capacity assumed to be equal to the NH3 values;
NO2;Nitrite;liquid;0.04600554;0;;;1000;969.94;;;;-1;density and heat capacity assumed to be equal to the HNO2 values;
C6H5O7;Citrate;liquid;0.1890997;0;;;1665;1178.981105;;;;-3;density and heat capacity assumed to be equal to the CitricAcid values;
HC6H5O7;HydrogenCitrate;liquid;0.19010764;0;;;1665;1178.981105;;;;-2;density and heat capacity assumed to be equal to the CitricAcid values;
H2C6H5O7;DihydrogenCitrate;liquid;0.19111558;0;;;1665;1178.981105;;;;-1;density and heat capacity assumed to be equal to the CitricAcid values;
H3C6H5O7;CitricAcid;liquid;0.19212352;0;;;1665;1178.981105;;;;0;;
SO4;Sulfate;liquid;0.0960636;0;;;1840;4186;;;;-2;density and heat capacity assumed to be equal to the H2SO4 values; heat capacity value for H2O at 1 bar and 20°C
HSO4;HydrogenSulfate;liquid;0.09707154;0;;;1840;4186;;;;-1;density and heat capacity assumed to be equal to the H2SO4 values; heat capacity value for H2O at 1 bar and 20°C
CaCO3;Calcite;solid;0.1000869;0;;;2730;833.675536;;;;0;;
