Shortcut,Name,Phase,Molar Mass,Melting Point,Boiling Point,Density,Heat Capacity,Linear Expansion Coefficient,Modulus of Elasticity,
sSubstance,sName,ttxPhases,fMolarMass,fMeltPoint,fBoilPoint,fDensity,fCp,fExpCoeff,fModElast,number of properties is not limited. as long as the name is in the first row and the variablename in the second!
-,-,-,kg/mol,K,K,kg/m3,J/(kg*K),-,-,
DrybeanEdibleDry,DrybeanEdibleDry,solid,0.02307,,,804,1860,,,
DrybeanEdibleDry,DrybeanEdibleDry,liquid,0.02307,,,804,1860,,,
DrybeanEdibleFluid,DrybeanEdibleFluid,solid,0.02307,,,804,1860,,,
DrybeanEdibleFluid,DrybeanEdibleFluid,liquid,0.02307,,,804,1860,,,
DrybeanInedibleDry,DrybeanInedibleDry,solid,0.02307,,,804,1860,,,
DrybeanInedibleDry,DrybeanInedibleDry,liquid,0.02307,,,804,1860,,,
DrybeanInedibleFluid,DrybeanInedibleFluid,solid,0.02307,,,804,1860,,,
DrybeanInedibleFluid,DrybeanInedibleFluid,liquid,0.02307,,,804,1860,,,
LettuceEdibleDry,LettuceEdibleDry,solid,0.02307,,,804,1860,,,
LettuceEdibleDry,LettuceEdibleDry,liquid,0.02307,,,804,1860,,,
LettuceEdibleFluid,LettuceEdibleFluid,solid,0.02307,,,804,1860,,,
LettuceEdibleFluid,LettuceEdibleFluid,liquid,0.02307,,,804,1860,,,
LettuceInedibleDry,LettuceInedibleDry,solid,0.02307,,,804,1860,,,
LettuceInedibleDry,LettuceInedibleDry,liquid,0.02307,,,804,1860,,,
LettuceInedibleFluid,LettuceInedibleFluid,solid,0.02307,,,804,1860,,,
LettuceInedibleFluid,LettuceInedibleFluid,liquid,0.02307,,,804,1860,,,
PeanutEdibleDry,PeanutEdibleDry,solid,0.02307,,,804,1860,,,
PeanutEdibleDry,PeanutEdibleDry,liquid,0.02307,,,804,1860,,,
PeanutEdibleFluid,PeanutEdibleFluid,solid,0.02307,,,804,1860,,,
PeanutEdibleFluid,PeanutEdibleFluid,liquid,0.02307,,,804,1860,,,
PeanutInedibleDry,PeanutInedibleDry,solid,0.02307,,,804,1860,,,
PeanutInedibleDry,PeanutInedibleDry,liquid,0.02307,,,804,1860,,,
PeanutInedibleFluid,PeanutInedibleFluid,solid,0.02307,,,804,1860,,,
PeanutInedibleFluid,PeanutInedibleFluid,liquid,0.02307,,,804,1860,,,
RiceEdibleDry,RiceEdibleDry,solid,0.02307,,,804,1860,,,
RiceEdibleDry,RiceEdibleDry,liquid,0.02307,,,804,1860,,,
RiceEdibleFluid,RiceEdibleFluid,solid,0.02307,,,804,1860,,,
RiceEdibleFluid,RiceEdibleFluid,liquid,0.02307,,,804,1860,,,
RiceInedibleDry,RiceInedibleDry,solid,0.02307,,,804,1860,,,
RiceInedibleDry,RiceInedibleDry,liquid,0.02307,,,804,1860,,,
RiceInedibleFluid,RiceInedibleFluid,solid,0.02307,,,804,1860,,,
RiceInedibleFluid,RiceInedibleFluid,liquid,0.02307,,,804,1860,,,
SoybeanEdibleDry,SoybeanEdibleDry,solid,0.02307,,,804,1860,,,
SoybeanEdibleDry,SoybeanEdibleDry,liquid,0.02307,,,804,1860,,,
SoybeanEdibleFluid,SoybeanEdibleFluid,solid,0.02307,,,804,1860,,,
SoybeanEdibleFluid,SoybeanEdibleFluid,liquid,0.02307,,,804,1860,,,
SoybeanInedibleDry,SoybeanInedibleDry,solid,0.02307,,,804,1860,,,
SoybeanInedibleDry,SoybeanInedibleDry,liquid,0.02307,,,804,1860,,,
SoybeanInedibleFluid,SoybeanInedibleFluid,solid,0.02307,,,804,1860,,,
SoybeanInedibleFluid,SoybeanInedibleFluid,liquid,0.02307,,,804,1860,,,
SweetpotatoEdibleDry,SweetpotatoEdibleDry,solid,0.02307,,,804,1860,,,
SweetpotatoEdibleDry,SweetpotatoEdibleDry,liquid,0.02307,,,804,1860,,,
SweetpotatoEdibleFluid,SweetpotatoEdibleFluid,solid,0.02307,,,804,1860,,,
SweetpotatoEdibleFluid,SweetpotatoEdibleFluid,liquid,0.02307,,,804,1860,,,
SweetpotatoInedibleDry,SweetpotatoInedibleDry,solid,0.02307,,,804,1860,,,
SweetpotatoInedibleDry,SweetpotatoInedibleDry,liquid,0.02307,,,804,1860,,,
SweetpotatoInedibleFluid,SweetpotatoInedibleFluid,solid,0.02307,,,804,1860,,,
SweetpotatoInedibleFluid,SweetpotatoInedibleFluid,liquid,0.02307,,,804,1860,,,
TomatoEdibleDry,TomatoEdibleDry,solid,0.02307,,,804,1860,,,
TomatoEdibleDry,TomatoEdibleDry,liquid,0.02307,,,804,1860,,,
TomatoEdibleFluid,TomatoEdibleFluid,solid,0.02307,,,804,1860,,,
TomatoEdibleFluid,TomatoEdibleFluid,liquid,0.02307,,,804,1860,,,
TomatoInedibleDry,TomatoInedibleDry,solid,0.02307,,,804,1860,,,
TomatoInedibleDry,TomatoInedibleDry,liquid,0.02307,,,804,1860,,,
TomatoInedibleFluid,TomatoInedibleFluid,solid,0.02307,,,804,1860,,,
TomatoInedibleFluid,TomatoInedibleFluid,liquid,0.02307,,,804,1860,,,
WheatEdibleDry,WheatEdibleDry,solid,0.0217244,,,804,1860,,,
WheatEdibleDry,WheatEdibleDry,liquid,0.0217244,,,804,1860,,,
